Type,Date,Timings
Midsem,04-08-2025,"09:00:00, 09:05:00, 09:15:00, 11:05:00, 11:15:00"
Midsem,04-08-2025,"11:45:00, 11:50:00, 12:00:00, 13:50:00, 14:00:00"
Midsem,04-08-2025,"14:30:00, 14:35:00, 14:45:00, 16:35:00, 16:45:00"
Midsem,05-08-2025,"09:00:00, 09:05:00, 09:15:00, 11:05:00, 11:15:00"
Midsem,05-08-2025,"11:45:00, 11:50:00, 12:00:00, 13:50:00, 14:00:00"
Midsem,05-08-2025,"14:30:00, 14:35:00, 14:45:00, 16:35:00, 16:45:00"
Midsem,06-08-2025,"09:00:00, 09:05:00, 09:15:00, 11:05:00, 11:15:00"
Midsem,06-08-2025,"11:45:00, 11:50:00, 12:00:00, 13:50:00, 14:00:00"
Midsem,06-08-2025,"14:30:00, 14:35:00, 14:45:00, 16:35:00, 16:45:00"
Midsem,07-08-2025,"09:00:00, 09:05:00, 09:15:00, 11:05:00, 11:15:00"
Midsem,07-08-2025,"11:45:00, 11:50:00, 12:00:00, 13:50:00, 14:00:00"
Midsem,07-08-2025,"14:30:00, 14:35:00, 14:45:00, 16:35:00, 16:45:00"
Midsem,08-08-2025,"09:00:00, 09:05:00, 09:15:00, 11:05:00, 11:15:00"
Midsem,08-08-2025,"11:45:00, 11:50:00, 12:00:00, 13:50:00, 14:00:00"
Midsem,08-08-2025,"14:30:00, 14:35:00, 14:45:00, 16:35:00, 16:45:00"
Midsem,09-08-2025,"09:00:00, 09:05:00, 09:15:00, 11:05:00, 11:15:00"
Midsem,09-08-2025,"11:45:00, 11:50:00, 12:00:00, 13:50:00, 14:00:00"
Midsem,09-08-2025,"14:30:00, 14:35:00, 14:45:00, 16:35:00, 16:45:00"
Holiday,27-09-2025,No bell ringing
Holiday,28-09-2025,No bell ringing
Holiday,29-09-2025,No bell ringing
Holiday,30-09-2025,No bell ringing
Holiday,01-10-2025,No bell ringing
Holiday,02-10-2025,No bell ringing
Holiday,03-10-2025,No bell ringing
Endsem,04-10-2025,"09:15:00, 09:20:00, 09:30:00, 12:20:00, 12:30:00"
Endsem,04-10-2025,"13:15:00, 13:20:00, 13:30:00, 16:20:00, 16:30:00"
Endsem,06-10-2025,"09:15:00, 09:20:00, 09:30:00, 12:20:00, 12:30:00"
Endsem,06-10-2025,"13:15:00, 13:20:00, 13:30:00, 16:20:00, 16:30:00"
Endsem,07-10-2025,"09:15:00, 09:20:00, 09:30:00, 12:20:00, 12:30:00"
Endsem,07-10-2025,"13:15:00, 13:20:00, 13:30:00, 16:20:00, 16:30:00"
Endsem,08-10-2025,"09:15:00, 09:20:00, 09:30:00, 12:20:00, 12:30:00"
Endsem,08-10-2025,"13:15:00, 13:20:00, 13:30:00, 16:20:00, 16:30:00"
Endsem,09-10-2025,"09:15:00, 09:20:00, 09:30:00, 12:20:00, 12:30:00"
Endsem,09-10-2025,"13:15:00, 13:20:00, 13:30:00, 16:20:00, 16:30:00"
Endsem,10-10-2025,"09:15:00, 09:20:00, 09:30:00, 12:20:00, 12:30:00"
Endsem,10-10-2025,"13:15:00, 13:20:00, 13:30:00, 16:20:00, 16:30:00"
Endsem,11-10-2025,"09:15:00, 09:20:00, 09:30:00, 12:20:00, 12:30:00"
Endsem,11-10-2025,"13:15:00, 13:20:00, 13:30:00, 16:20:00, 16:30:00"
Endsem,13-10-2025,"09:15:00, 09:20:00, 09:30:00, 12:20:00, 12:30:00"
Endsem,13-10-2025,"13:15:00, 13:20:00, 13:30:00, 16:20:00, 16:30:00"
Endsem,14-10-2025,"09:15:00, 09:20:00, 09:30:00, 12:20:00, 12:30:00"
Endsem,14-10-2025,"13:15:00, 13:20:00, 13:30:00, 16:20:00, 16:30:00"
Endsem,15-10-2025,"09:15:00, 09:20:00, 09:30:00, 12:20:00, 12:30:00"
Endsem,15-10-2025,"13:15:00, 13:20:00, 13:30:00, 16:20:00, 16:30:00"
Endsem,16-10-2025,"09:15:00, 09:20:00, 09:30:00, 12:20:00, 12:30:00"
Endsem,16-10-2025,"13:15:00, 13:20:00, 13:30:00, 16:20:00, 16:30:00"
Endsem,17-10-2025,"09:15:00, 09:20:00, 09:30:00, 12:20:00, 12:30:00"
Endsem,17-10-2025,"13:15:00, 13:20:00, 13:30:00, 16:20:00, 16:30:00"
Holiday,21-10-2025,No bell ringing
Holiday,22-10-2025,No bell ringing
Holiday,23-10-2025,No bell ringing
Holiday,24-10-2025,No bell ringing
Holiday,25-10-2025,No bell ringing
